"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"REST API Tests","","Verify CRUID Operations on Account module","2","0","3","0","0"
"REST API Tests","","Verify CRUID Operations on Contact module","1","1","7","0","0"
"UI Tests","","Test cases for User Panel","1","0","3","0","0"
"UI Tests","","Test cases for Cart","0","0","4","0","0"
"REST API Tests","","Verify CRUID Operations on Details module","2","0","16","0","0"
"REST API Tests","","Verify CRUID Operations on User module","4","0","8","0","0"
"REST API Tests","","Verify CRUID Operations on Report module","0","0","7","0","0"
"UI Tests","","Test cases for Product","0","0","3","0","0"
"REST API Tests","","Verify CRUID Operations on Products module","0","0","4","0","0"
"UI Tests","","Test cases for ContactForm","0","0","1","0","0"
